,BNS_num,Mean_Dist,P_massfill,P_3dcat,P_2dcat,Area99,DegArea,P_2d
203,1071,150.37,0.369,0.263,0.294,1878,948.9114281,0.266956967
204,1075,144.57,0.827,0.744,0.803,353,142.4567068,0.759017177
205,1077,176.05,0.375,0.257,0.347,2521,1431.438771,0.250072359
206,1079,242.96,0.783,0.747,0.779,882,515.0892505,0.743968495
207,1084,190.15,0.475,0.392,0.468,3221,2092.827112,0.396156756
208,1085,204.6,0.595,0.525,0.583,1340,781.5644674,0.537784197
209,1088,313.48,0.531,0.507,0.522,2387,1412.961233,0.523750269
210,1088,313.48,0.531,0.507,0.522,2387,1412.961233,0.523750269
211,1089,348.68,0.378,0.361,0.356,3321,2038.351814,0.36243553
212,1104,191.9878887,0.177557838,0.087446513,0.176339504,6533,2675.387573,0.099576693
213,1107,258.6907991,0.2055308,0.140942589,0.201234433,4525,2337.55942,0.149804769
214,1110,281.8777028,0.321353824,0.1264788,0.14333522,2749,1662.099824,0.300255243
215,1111,215.2637421,0.330488171,0.276469727,0.328424088,4620,3014.487777,0.211612252
216,1124,209.1541902,0.268634878,0.174588113,0.266305108,3034,1327.838662,0.185273558
217,1125,78.91726152,0.953602976,0.894057117,0.903852093,975,555.4014954,0.924562418
218,1131,166.6012309,0.648755252,0.528995061,0.644046207,1179,634.0851224,0.593877689
219,1132,170.9676556,0.596505392,0.482096105,0.562156288,874,363.2560782,0.52480016
220,1136,247.2092676,0.255550237,0.195738743,0.249088576,3408,1857.602409,0.198009562
221,1138,245.7759248,0.226656273,0.15749898,0.217728693,4817,2683.649353,0.170940313
222,1143,380.6362272,0.246541475,0.219540455,0.228758533,4229,2165.045568,0.231402801
223,1145,176.4062721,0.813943038,0.670810987,0.801289317,657,278.7892045,0.765984662
224,1150,279.7186845,0.390643291,0.361498933,0.374662711,3839,1869.365611,0.363837073
225,1152,218.5222356,0.68481909,0.659603289,0.667098118,962,387.333268,0.66519789
226,1162,238.2457226,0.647419311,0.59098235,0.619687645,1374,799.3338531,0.585793207
