,Tile No,RA_Center,DEC_Center
398,398,337.1294117647059,-33.0
399,399,337.9764705882353,-33.0
400,400,338.8235294117647,-33.0
401,401,339.67058823529413,-33.0
402,402,340.5176470588235,-33.0
403,403,341.36470588235295,-33.0
404,404,342.21176470588233,-33.0
405,405,343.05882352941177,-33.0
406,406,343.90588235294115,-33.0
407,407,344.7529411764706,-33.0
408,408,345.6,-33.0
409,409,346.4470588235294,-33.0
410,410,347.29411764705884,-33.0
411,411,348.1411764705882,-33.0
412,412,348.98823529411766,-33.0
413,413,349.83529411764704,-33.0
414,414,350.6823529411765,-33.0
415,415,351.52941176470586,-33.0
416,416,352.3764705882353,-33.0
417,417,353.2235294117647,-33.0
418,418,354.0705882352941,-33.0
419,419,354.91764705882355,-33.0
420,420,355.7647058823529,-33.0
421,421,356.61176470588236,-33.0
422,422,357.45882352941175,-33.0
423,423,358.3058823529412,-33.0
424,424,359.15294117647056,-33.0
425,425,360.0,-33.0
426,426,0.0,-32.41
427,427,0.8411214953271028,-32.41
428,428,1.6822429906542056,-32.41
429,429,2.5233644859813085,-32.41
430,430,3.364485981308411,-32.41
431,431,4.205607476635514,-32.41
432,432,5.046728971962617,-32.41
433,433,5.887850467289719,-32.41
434,434,6.728971962616822,-32.41
435,435,7.570093457943925,-32.41
436,436,8.411214953271028,-32.41
437,437,9.25233644859813,-32.41
438,438,10.093457943925234,-32.41
439,439,10.934579439252337,-32.41
440,440,11.775700934579438,-32.41
441,441,12.616822429906541,-32.41
442,442,13.457943925233645,-32.41
443,443,14.299065420560748,-32.41
444,444,15.14018691588785,-32.41
445,445,15.981308411214952,-32.41
446,446,16.822429906542055,-32.41
447,447,17.66355140186916,-32.41
448,448,18.50467289719626,-32.41
449,449,19.345794392523363,-32.41
450,450,20.186915887850468,-32.41
451,451,21.02803738317757,-32.41
452,452,21.869158878504674,-32.41
453,453,22.710280373831775,-32.41
454,454,23.551401869158877,-32.41
455,455,24.39252336448598,-32.41
456,456,25.233644859813083,-32.41
457,457,26.074766355140188,-32.41
458,458,26.91588785046729,-32.41
459,459,27.75700934579439,-32.41
460,460,28.598130841121495,-32.41
461,461,29.439252336448597,-32.41
462,462,30.2803738317757,-32.41
463,463,31.121495327102803,-32.41
464,464,31.962616822429904,-32.41
465,465,32.80373831775701,-32.41
466,466,33.64485981308411,-32.41
467,467,34.48598130841121,-32.41
468,468,35.32710280373832,-32.41
469,469,36.16822429906542,-32.41
470,470,37.00934579439252,-32.41
471,471,37.850467289719624,-32.41
472,472,38.691588785046726,-32.41
473,473,39.532710280373834,-32.41
474,474,40.373831775700936,-32.41
475,475,41.21495327102804,-32.41
476,476,42.05607476635514,-32.41
477,477,42.89719626168224,-32.41
478,478,43.73831775700935,-32.41
479,479,44.57943925233645,-32.41
480,480,45.42056074766355,-32.41
481,481,46.26168224299065,-32.41
482,482,47.10280373831775,-32.41
483,483,47.94392523364486,-32.41
484,484,48.78504672897196,-32.41
485,485,49.626168224299064,-32.41
486,486,50.467289719626166,-32.41
487,487,51.30841121495327,-32.41
488,488,52.149532710280376,-32.41
489,489,52.99065420560748,-32.41
490,490,53.83177570093458,-32.41
491,491,54.67289719626168,-32.41
492,492,55.51401869158878,-32.41
493,493,56.35514018691589,-32.41
494,494,57.19626168224299,-32.41
495,495,58.03738317757009,-32.41
496,496,58.87850467289719,-32.41
497,497,59.719626168224295,-32.41
498,498,60.5607476635514,-32.41
499,499,61.401869158878505,-32.41
500,500,62.242990654205606,-32.41
501,501,63.08411214953271,-32.41
502,502,63.92523364485981,-32.41
503,503,64.76635514018692,-32.41
504,504,65.60747663551402,-32.41
505,505,66.44859813084112,-32.41
506,506,67.28971962616822,-32.41
507,507,68.13084112149532,-32.41
508,508,68.97196261682242,-32.41
509,509,69.81308411214953,-32.41
510,510,70.65420560747664,-32.41
511,511,71.49532710280374,-32.41
512,512,72.33644859813084,-32.41
513,513,73.17757009345794,-32.41
514,514,74.01869158878505,-32.41
515,515,74.85981308411215,-32.41
516,516,75.70093457943925,-32.41
517,517,76.54205607476635,-32.41
518,518,77.38317757009345,-32.41
519,519,78.22429906542055,-32.41
520,520,79.06542056074767,-32.41
521,521,79.90654205607477,-32.41
522,522,80.74766355140187,-32.41
523,523,81.58878504672897,-32.41
524,524,82.42990654205607,-32.41
525,525,83.27102803738318,-32.41
526,526,84.11214953271028,-32.41
527,527,84.95327102803738,-32.41
528,528,85.79439252336448,-32.41
529,529,86.63551401869158,-32.41
530,530,87.4766355140187,-32.41
531,531,88.3177570093458,-32.41
532,532,89.1588785046729,-32.41
533,533,90.0,-32.41
534,534,90.8411214953271,-32.41
535,535,91.6822429906542,-32.41
536,536,92.5233644859813,-32.41
537,537,93.3644859813084,-32.41
538,538,94.2056074766355,-32.41
539,539,95.04672897196261,-32.41
540,540,95.88785046728972,-32.41
541,541,96.72897196261682,-32.41
542,542,97.57009345794393,-32.41
543,543,98.41121495327103,-32.41
544,544,99.25233644859813,-32.41
545,545,100.09345794392523,-32.41
546,546,100.93457943925233,-32.41
547,547,101.77570093457943,-32.41
548,548,102.61682242990653,-32.41
549,549,103.45794392523364,-32.41
550,550,104.29906542056075,-32.41
551,551,105.14018691588785,-32.41
552,552,105.98130841121495,-32.41
553,553,106.82242990654206,-32.41
554,554,107.66355140186916,-32.41
555,555,108.50467289719626,-32.41
556,556,109.34579439252336,-32.41
557,557,110.18691588785046,-32.41
558,558,111.02803738317756,-32.41
559,559,111.86915887850468,-32.41
560,560,112.71028037383178,-32.41
561,561,113.55140186915888,-32.41
562,562,114.39252336448598,-32.41
563,563,115.23364485981308,-32.41
564,564,116.07476635514018,-32.41
565,565,116.91588785046729,-32.41
566,566,117.75700934579439,-32.41
567,567,118.59813084112149,-32.41
568,568,119.43925233644859,-32.41
569,569,120.2803738317757,-32.41
570,570,121.1214953271028,-32.41
571,571,121.96261682242991,-32.41
572,572,122.80373831775701,-32.41
573,573,123.64485981308411,-32.41
574,574,124.48598130841121,-32.41
575,575,125.32710280373831,-32.41
576,576,126.16822429906541,-32.41
577,577,127.00934579439252,-32.41
578,578,127.85046728971962,-32.41
579,579,128.69158878504672,-32.41
580,580,129.53271028037383,-32.41
581,581,130.37383177570092,-32.41
582,582,131.21495327102804,-32.41
583,583,132.05607476635512,-32.41
584,584,132.89719626168224,-32.41
585,585,133.73831775700936,-32.41
586,586,134.57943925233644,-32.41
587,587,135.42056074766356,-32.41
588,588,136.26168224299064,-32.41
589,589,137.10280373831776,-32.41
590,590,137.94392523364485,-32.41
591,591,138.78504672897196,-32.41
592,592,139.62616822429905,-32.41
593,593,140.46728971962617,-32.41
594,594,141.30841121495328,-32.41
595,595,142.14953271028037,-32.41
596,596,142.99065420560748,-32.41
597,597,143.83177570093457,-32.41
598,598,144.6728971962617,-32.41
599,599,145.51401869158877,-32.41
600,600,146.3551401869159,-32.41
601,601,147.19626168224298,-32.41
602,602,148.0373831775701,-32.41
603,603,148.87850467289718,-32.41
604,604,149.7196261682243,-32.41
605,605,150.5607476635514,-32.41
606,606,151.4018691588785,-32.41
607,607,152.2429906542056,-32.41
608,608,153.0841121495327,-32.41
609,609,153.92523364485982,-32.41
610,610,154.7663551401869,-32.41
611,611,155.60747663551402,-32.41
612,612,156.4485981308411,-32.41
613,613,157.28971962616822,-32.41
614,614,158.13084112149534,-32.41
615,615,158.97196261682242,-32.41
616,616,159.81308411214954,-32.41
617,617,160.65420560747663,-32.41
618,618,161.49532710280374,-32.41
619,619,162.33644859813083,-32.41
620,620,163.17757009345794,-32.41
621,621,164.01869158878503,-32.41
622,622,164.85981308411215,-32.41
623,623,165.70093457943926,-32.41
624,624,166.54205607476635,-32.41
625,625,167.38317757009347,-32.41
626,626,168.22429906542055,-32.41
627,627,169.06542056074767,-32.41
628,628,169.90654205607476,-32.41
629,629,170.74766355140187,-32.41
630,630,171.58878504672896,-32.41
631,631,172.42990654205607,-32.41
632,632,173.27102803738316,-32.41
633,633,174.11214953271028,-32.41
634,634,174.9532710280374,-32.41
635,635,175.79439252336448,-32.41
636,636,176.6355140186916,-32.41
637,637,177.47663551401868,-32.41
638,638,178.3177570093458,-32.41
639,639,179.15887850467288,-32.41
640,640,180.0,-32.41
641,641,180.8411214953271,-32.41
642,642,181.6822429906542,-32.41
643,643,182.52336448598132,-32.41
644,644,183.3644859813084,-32.41
645,645,184.20560747663552,-32.41
646,646,185.0467289719626,-32.41
647,647,185.88785046728972,-32.41
648,648,186.7289719626168,-32.41
649,649,187.57009345794393,-32.41
650,650,188.411214953271,-32.41
651,651,189.25233644859813,-32.41
652,652,190.09345794392522,-32.41
653,653,190.93457943925233,-32.41
654,654,191.77570093457945,-32.41
655,655,192.61682242990653,-32.41
656,656,193.45794392523365,-32.41
657,657,194.29906542056074,-32.41
658,658,195.14018691588785,-32.41
659,659,195.98130841121494,-32.41
660,660,196.82242990654206,-32.41
661,661,197.66355140186914,-32.41
662,662,198.50467289719626,-32.41
663,663,199.34579439252337,-32.41
664,664,200.18691588785046,-32.41
665,665,201.02803738317758,-32.41
666,666,201.86915887850466,-32.41
667,667,202.71028037383178,-32.41
668,668,203.55140186915887,-32.41
669,669,204.39252336448598,-32.41
670,670,205.23364485981307,-32.41
671,671,206.07476635514018,-32.41
672,672,206.91588785046727,-32.41
673,673,207.7570093457944,-32.41
674,674,208.5981308411215,-32.41
675,675,209.4392523364486,-32.41
676,676,210.2803738317757,-32.41
677,677,211.1214953271028,-32.41
678,678,211.9626168224299,-32.41
679,679,212.803738317757,-32.41
680,680,213.6448598130841,-32.41
681,681,214.4859813084112,-32.41
682,682,215.3271028037383,-32.41
683,683,216.16822429906543,-32.41
684,684,217.00934579439252,-32.41
685,685,217.85046728971963,-32.41
686,686,218.69158878504672,-32.41
687,687,219.53271028037383,-32.41
688,688,220.37383177570092,-32.41
689,689,221.21495327102804,-32.41
690,690,222.05607476635512,-32.41
691,691,222.89719626168224,-32.41
692,692,223.73831775700936,-32.41
693,693,224.57943925233644,-32.41
694,694,225.42056074766356,-32.41
695,695,226.26168224299064,-32.41
696,696,227.10280373831776,-32.41
697,697,227.94392523364485,-32.41
698,698,228.78504672897196,-32.41
699,699,229.62616822429905,-32.41
700,700,230.46728971962617,-32.41
701,701,231.30841121495325,-32.41
702,702,232.14953271028037,-32.41
703,703,232.99065420560748,-32.41
704,704,233.83177570093457,-32.41
705,705,234.6728971962617,-32.41
706,706,235.51401869158877,-32.41
707,707,236.3551401869159,-32.41
708,708,237.19626168224298,-32.41
709,709,238.0373831775701,-32.41
710,710,238.87850467289718,-32.41
711,711,239.7196261682243,-32.41
712,712,240.5607476635514,-32.41
713,713,241.4018691588785,-32.41
714,714,242.2429906542056,-32.41
715,715,243.0841121495327,-32.41
716,716,243.92523364485982,-32.41
717,717,244.7663551401869,-32.41
718,718,245.60747663551402,-32.41
719,719,246.4485981308411,-32.41
720,720,247.28971962616822,-32.41
721,721,248.1308411214953,-32.41
722,722,248.97196261682242,-32.41
723,723,249.81308411214954,-32.41
724,724,250.65420560747663,-32.41
725,725,251.49532710280374,-32.41
726,726,252.33644859813083,-32.41
727,727,253.17757009345794,-32.41
728,728,254.01869158878503,-32.41
729,729,254.85981308411215,-32.41
730,730,255.70093457943923,-32.41
731,731,256.5420560747663,-32.41
732,732,257.38317757009344,-32.41
733,733,258.22429906542055,-32.41
734,734,259.06542056074767,-32.41
735,735,259.9065420560748,-32.41
736,736,260.74766355140184,-32.41
737,737,261.58878504672896,-32.41
738,738,262.4299065420561,-32.41
739,739,263.2710280373832,-32.41
740,740,264.11214953271025,-32.41
741,741,264.95327102803736,-32.41
742,742,265.7943925233645,-32.41
743,743,266.6355140186916,-32.41
744,744,267.4766355140187,-32.41
745,745,268.31775700934577,-32.41
746,746,269.1588785046729,-32.41
747,747,270.0,-32.41
748,748,270.8411214953271,-32.41
749,749,271.6822429906542,-32.41
750,750,272.5233644859813,-32.41
751,751,273.3644859813084,-32.41
752,752,274.2056074766355,-32.41
753,753,275.04672897196264,-32.41
754,754,275.8878504672897,-32.41
755,755,276.7289719626168,-32.41
756,756,277.5700934579439,-32.41
757,757,278.41121495327104,-32.41
758,758,279.2523364485981,-32.41
759,759,280.0934579439252,-32.41
760,760,280.93457943925233,-32.41
761,761,281.77570093457945,-32.41
762,762,282.61682242990656,-32.41
763,763,283.4579439252336,-32.41
764,764,284.29906542056074,-32.41
765,765,285.14018691588785,-32.41
766,766,285.98130841121497,-32.41
767,767,286.822429906542,-32.41
768,768,287.66355140186914,-32.41
769,769,288.50467289719626,-32.41
770,770,289.3457943925234,-32.41
771,771,290.1869158878505,-32.41
772,772,291.02803738317755,-32.41
773,773,291.86915887850466,-32.41
774,774,292.7102803738318,-32.41
775,775,293.5514018691589,-32.41
776,776,294.39252336448595,-32.41
777,777,295.23364485981307,-32.41
778,778,296.0747663551402,-32.41
779,779,296.9158878504673,-32.41
780,780,297.75700934579436,-32.41
781,781,298.5981308411215,-32.41
782,782,299.4392523364486,-32.41
783,783,300.2803738317757,-32.41
784,784,301.1214953271028,-32.41
785,785,301.9626168224299,-32.41
786,786,302.803738317757,-32.41
787,787,303.6448598130841,-32.41
788,788,304.4859813084112,-32.41
789,789,305.3271028037383,-32.41
790,790,306.1682242990654,-32.41
791,791,307.0093457943925,-32.41
792,792,307.85046728971963,-32.41
793,793,308.69158878504675,-32.41
794,794,309.5327102803738,-32.41
795,795,310.3738317757009,-32.41
796,796,311.21495327102804,-32.41
797,797,312.05607476635515,-32.41
798,798,312.8971962616822,-32.41
799,799,313.7383177570093,-32.41
800,800,314.57943925233644,-32.41
801,801,315.42056074766356,-32.41
802,802,316.2616822429907,-32.41
803,803,317.10280373831773,-32.41
804,804,317.94392523364485,-32.41
805,805,318.78504672897196,-32.41
806,806,319.6261682242991,-32.41
807,807,320.46728971962614,-32.41
808,808,321.30841121495325,-32.41
809,809,322.14953271028037,-32.41
810,810,322.9906542056075,-32.41
811,811,323.8317757009346,-32.41
812,812,324.67289719626166,-32.41
813,813,325.5140186915888,-32.41
814,814,326.3551401869159,-32.41
815,815,327.196261682243,-32.41
816,816,328.03738317757006,-32.41
817,817,328.8785046728972,-32.41
818,818,329.7196261682243,-32.41
819,819,330.5607476635514,-32.41
820,820,331.4018691588785,-32.41
821,821,332.2429906542056,-32.41
822,822,333.0841121495327,-32.41
823,823,333.9252336448598,-32.41
824,824,334.76635514018693,-32.41
