NSBH_num,Mean_Dist,P_massfill,P_3dcat,P_2dcat,Area99,DegArea,P_2d
1268,587.8089878,0.667589018,0.657464949,0.653892951,2735,1810.261093,0.663220357
1276,401.679636,0.221639583,0.175584892,0.189989358,4760,2494.17918,0.180967723
1285,421.9487977,0.184081713,0.149166307,0.169884827,5819,2859.310551,0.170908356
1294,326.3047365,0.639841107,0.606760075,0.618919675,1152,478.4357942,0.615529515
1301,475.4548227,0.700419346,0.670194697,0.657015947,2543,1064.615702,0.695687123
1303,655.3303603,0.307321676,0.287034104,0.282799913,5748,2405.240453,0.294509076
1304,293.6010284,0.478022484,0.406685436,0.463912654,1784,742.0521727,0.412424241
1307,492.9824971,0.446597775,0.415258084,0.412206664,2562,1386.995636,0.426793575
1309,446.2836091,0.299049209,0.274178091,0.270604761,5218,2276.330444,0.273905166
1313,644.3568051,0.884269874,0.848767406,0.836534635,2352,1338.775686,0.860233025
1324,692.8435673,0.300855499,0.251082607,0.249528443,4859,2997.256063,0.292701176
1335,898.4487091,0.301564173,0.27954898,0.277428799,2663,1586.89139,0.29112781
1341,254.7129581,0.823386801,0.800684837,0.806739402,360,193.876457,0.772760311
1342,673.768617,0.222506015,0.204772837,0.204176428,4309,2241.670306,0.206966574
1346,555.247649,0.827335376,0.80932744,0.811280931,1336,861.2972094,0.821715031
1368,422.8367645,0.318816518,0.076365139,0.078775582,5341,2234.798603,0.313118974
1369,380.7803993,0.479495355,0.422817507,0.448431369,2332,1555.522851,0.465916072
1381,372.0195913,0.92782627,0.911068345,0.924773818,1312,357.2498946,0.924517745
1382,151.0134973,0.351871333,0.284897664,0.333732144,2621,1682.33463,0.209503561
1388,591.4115803,0.43697507,0.062702928,0.05834276,4271,2014.589359,0.434484473
1402,468.6615776,0.347678357,0.301451028,0.292925464,2873,1586.340605,0.325514001
1408,356.0713972,0.412978959,0.375095999,0.393485067,3400,2036.188014,0.372247559
1412,618.1873924,0.284442567,0.211553177,0.212833129,4201,2249.787834,0.261905334
1416,184.8766595,0.831840414,0.749049229,0.809442551,486,183.1492559,0.703493245
1417,287.8925389,0.830995086,0.765694319,0.767287657,384,156.331253,0.811499312
1425,439.7362377,0.247581745,0.227090024,0.230312918,3295,1902.937292,0.233074868
1427,384.4608311,0.632464407,0.561061846,0.601175961,656,281.4906757,0.585679077
1428,485.414378,0.786226801,0.65318159,0.607557624,1850,1480.642266,0.780471475
1430,800.3458831,0.327200983,0.298849246,0.294938213,3158,1891.462596,0.3200059
1437,447.2658139,0.721488063,0.668266856,0.674131348,465,186.9916397,0.716600634
1438,349.1282578,0.359461124,0.310490973,0.342156884,1030,429.96668,0.322528783
1443,623.4998389,0.394135987,0.341778426,0.323862761,4913,2886.613769,0.390708708
1445,340.1345577,0.481575685,0.422977215,0.462211314,1572,1035.80438,0.435364924
1453,499.9692625,0.382542486,0.358238029,0.353758951,1728,715.9029806,0.371293667
1455,509.5120497,0.505515815,0.470432827,0.471494279,2732,1918.424853,0.499373156
1465,514.3196071,0.859739414,0.843044019,0.849657322,915,985.643568,0.851841401
1480,414.9761457,0.324223284,0.287331101,0.301675197,3607,1510.279765,0.298025117
1483,602.0836464,0.57675272,0.554957494,0.558145015,3311,2009.107733,0.574019741
1487,536.0627988,0.216067289,0.09416602,0.087397117,3717,1812.490463,0.207425097
